"region","period","mean","sd","n"
"Caucasus and Central Asia Oil Exporters","post2020",3.28255597807205,2.13930647176839,11
"Caucasus and Central Asia Oil Exporters","pre2020",6.78446838383913,4.06114661176585,20
"Caucasus and Central Asia Oil Importers","post2020",5.77907660757143,2.39640768376718,11
"Caucasus and Central Asia Oil Importers","pre2020",6.33100667250768,1.54855252638504,20
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters","post2020",2.54227732654397,1.7678359019908,11
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters","pre2020",3.64354393665102,2.87640505082062,20
"Middle East and North Africa, Afghanistan, Pakistan Oil Exporters","post2020",2.96249187257263,2.59880658401103,11
"Middle East and North Africa, Afghanistan, Pakistan Oil Exporters","pre2020",4.07904860893485,2.52533183997737,20
"Middle East and North Africa, Afghanistan, Pakistan Oil Importers","post2020",3.42925010563133,1.81692340353763,11
"Middle East and North Africa, Afghanistan, Pakistan Oil Importers","pre2020",4.08850918439239,1.27609267711446,20
